Código área de residencia;Nombre área de residencia;Código área de destino;Nombre área de destino;Flujo origen-destino (nº de personas)
200B;Barcelona (SCD els barris de la Vall d'Hebron);159B;Barcelona (SCD el Barri Gòtic);65
200B;Barcelona (SCD els barris de la Vall d'Hebron);160B;Barcelona (SCD la Barceloneta);21
200B;Barcelona (SCD els barris de la Vall d'Hebron);161B;Barcelona (SCD Sant Pere, Santa Caterina i la Ribera);22
200B;Barcelona (SCD els barris de la Vall d'Hebron);162B;Barcelona (SCD el Fort Pienc);19
200B;Barcelona (SCD els barris de la Vall d'Hebron);163B;Barcelona (SCD la Sagrada Família est);23
200B;Barcelona (SCD els barris de la Vall d'Hebron);164B;Barcelona (SCD la Sagrada Família oest);33
200B;Barcelona (SCD els barris de la Vall d'Hebron);165B;Barcelona (SCD la Dreta de l'Eixample nord);141
200B;Barcelona (SCD els barris de la Vall d'Hebron);166B;Barcelona (SCD la Dreta de l'Eixample sud);93
200B;Barcelona (SCD els barris de la Vall d'Hebron);167B;Barcelona (SCD l'Antiga Esquerra de l'Eixample sud);21
200B;Barcelona (SCD els barris de la Vall d'Hebron);168B;Barcelona (SCD l'Antiga Esquerra de l'Eixample nord);51
200B;Barcelona (SCD els barris de la Vall d'Hebron);169B;Barcelona (SCD la Nova Esquerra de l'Eixample nord);27
200B;Barcelona (SCD els barris de la Vall d'Hebron);170B;Barcelona (SCD la Nova Esquerra de l'Eixample sud);19
200B;Barcelona (SCD els barris de la Vall d'Hebron);171B;Barcelona (SCD Sant Antoni);40
200B;Barcelona (SCD els barris de la Vall d'Hebron);173B;Barcelona (SCD el Poble Sec oest);17
200B;Barcelona (SCD els barris de la Vall d'Hebron);174B;Barcelona (SCD la Marina i la Zona Franca-Port);101
200B;Barcelona (SCD els barris de la Vall d'Hebron);180B;Barcelona (SCD Sants est);17
200B;Barcelona (SCD els barris de la Vall d'Hebron);181B;Barcelona (SCD les Corts est);26
200B;Barcelona (SCD els barris de la Vall d'Hebron);182B;Barcelona (SCD les Corts oest);37
200B;Barcelona (SCD els barris de la Vall d'Hebron);183B;Barcelona (SCD la Maternitat i Sant Ramon);34
200B;Barcelona (SCD els barris de la Vall d'Hebron);184B;Barcelona (SCD Pedralbes);45
200B;Barcelona (SCD els barris de la Vall d'Hebron);185B;Barcelona (SCD Sarrià-Vallvidrera);88
200B;Barcelona (SCD els barris de la Vall d'Hebron);187B;Barcelona (SCD Sant Gervasi- la Bonanova);67
200B;Barcelona (SCD els barris de la Vall d'Hebron);188B;Barcelona (SCD Sant Gervasi- Galvany oest);52
200B;Barcelona (SCD els barris de la Vall d'Hebron);189B;Barcelona (SCD Sant Gervasi- Galvany est);69
200B;Barcelona (SCD els barris de la Vall d'Hebron);190B;Barcelona (SCD el Putxet i el Farró);58
200B;Barcelona (SCD els barris de la Vall d'Hebron);191B;Barcelona (SCD Vallcarca i els Penitents);168
200B;Barcelona (SCD els barris de la Vall d'Hebron);194B;Barcelona (SCD la Vila de Gràcia oest);40
200B;Barcelona (SCD els barris de la Vall d'Hebron);195B;Barcelona (SCD la Vila de Gràcia est);54
200B;Barcelona (SCD els barris de la Vall d'Hebron);196B;Barcelona (SCD el Camp d'en Grassot i Gràcia Nova);34
200B;Barcelona (SCD els barris de la Vall d'Hebron);197B;Barcelona (SCD el Baix Guinardó);21
200B;Barcelona (SCD els barris de la Vall d'Hebron);199B;Barcelona (SCD el Carmel);371
200B;Barcelona (SCD els barris de la Vall d'Hebron);200B;Barcelona (SCD els barris de la Vall d'Hebron);19.222
200B;Barcelona (SCD els barris de la Vall d'Hebron);201B;Barcelona (SCD Horta);548
200B;Barcelona (SCD els barris de la Vall d'Hebron);202B;Barcelona (SCD la Font d'en Fargues);108
200B;Barcelona (SCD els barris de la Vall d'Hebron);203B;Barcelona (SCD el Guinardó);74
200B;Barcelona (SCD els barris de la Vall d'Hebron);204B;Barcelona (SCD Vilapicina i la Torre Llobeta);76
200B;Barcelona (SCD els barris de la Vall d'Hebron);205B;Barcelona (SCD Porta);61
200B;Barcelona (SCD els barris de la Vall d'Hebron);206B;Barcelona (SCD el Turó de la Peira-Can Peguera);22
200B;Barcelona (SCD els barris de la Vall d'Hebron);207B;Barcelona (SCD la Guineueta);99
200B;Barcelona (SCD els barris de la Vall d'Hebron);209B;Barcelona (SCD les Roquetes);25
200B;Barcelona (SCD els barris de la Vall d'Hebron);210B;Barcelona (SCD Verdun);23
200B;Barcelona (SCD els barris de la Vall d'Hebron);211B;Barcelona (SCD la Prosperitat);39
200B;Barcelona (SCD els barris de la Vall d'Hebron);212B;Barcelona (SCD la Trinitat Nova);20
200B;Barcelona (SCD els barris de la Vall d'Hebron);215B;Barcelona (SCD el Bon Pastor);60
200B;Barcelona (SCD els barris de la Vall d'Hebron);217B;Barcelona (SCD Sant Andreu oest);63
200B;Barcelona (SCD els barris de la Vall d'Hebron);218B;Barcelona (SCD la Sagrera);79
200B;Barcelona (SCD els barris de la Vall d'Hebron);221B;Barcelona (SCD el Camp de l'Arp del Clot);24
200B;Barcelona (SCD els barris de la Vall d'Hebron);223B;Barcelona (SCD el Parc i la Llacuna del Poblenou);34
200B;Barcelona (SCD els barris de la Vall d'Hebron);224B;Barcelona (SCD la Vila Olímpica del Poblenou);17
200B;Barcelona (SCD els barris de la Vall d'Hebron);225B;Barcelona (SCD el Poblenou);54
200B;Barcelona (SCD els barris de la Vall d'Hebron);226B;Barcelona (SCD Diagonal Mar i el Front Marítim del Poblenou);23
200B;Barcelona (SCD els barris de la Vall d'Hebron);269B;Prat de Llobregat, El (distrito 03);19
200B;Barcelona (SCD els barris de la Vall d'Hebron);270B;Prat de Llobregat, El (distrito 04);19
200B;Barcelona (SCD els barris de la Vall d'Hebron);289B;Sant Cugat del Vallès (distrito 01);19
200B;Barcelona (SCD els barris de la Vall d'Hebron);301B;Cerdanyola del Vallès;22
200B;Barcelona (SCD els barris de la Vall d'Hebron);320B;Hospitalet de LLobregat, L´ (SCD  Santa Eulalia 2);39
200B;Barcelona (SCD els barris de la Vall d'Hebron);OTRO;OTROS DESTINOS;2.372
200M;Madrid (SCD Puerta del Angel-1);008M;Cercedilla y Navacerrada;26
200M;Madrid (SCD Puerta del Angel-1);030M;Arroyomolinos;33
200M;Madrid (SCD Puerta del Angel-1);040M;Colmenar Viejo;29
200M;Madrid (SCD Puerta del Angel-1);045M;Galapagar;25
200M;Madrid (SCD Puerta del Angel-1);047M;Guadarrama;20
200M;Madrid (SCD Puerta del Angel-1);059M;Navalcarnero;41
200M;Madrid (SCD Puerta del Angel-1);066M;San Lorenzo de El Escorial;24
200M;Madrid (SCD Puerta del Angel-1);072M;Torrelodones;23
200M;Madrid (SCD Puerta del Angel-1);081M;Villaviciosa de Odón;46
200M;Madrid (SCD Puerta del Angel-1);082M;Tres Cantos;48
200M;Madrid (SCD Puerta del Angel-1);088M;Alcorcón (distrito 01);79
200M;Madrid (SCD Puerta del Angel-1);089M;Alcorcón (distrito 02);52
200M;Madrid (SCD Puerta del Angel-1);090M;Alcorcón (distrito 03);24
200M;Madrid (SCD Puerta del Angel-1);091M;Alcorcón (distrito 04);39
200M;Madrid (SCD Puerta del Angel-1);096M;Arganda del Rey;29
200M;Madrid (SCD Puerta del Angel-1);097M;Boadilla del Monte;57
200M;Madrid (SCD Puerta del Angel-1);098M;Collado Villalba;32
200M;Madrid (SCD Puerta del Angel-1);112M;Getafe (distrito 02);21
200M;Madrid (SCD Puerta del Angel-1);113M;Getafe (distrito 03);28
200M;Madrid (SCD Puerta del Angel-1);114M;Getafe (distrito 04);47
200M;Madrid (SCD Puerta del Angel-1);119M;Leganés (distrito 05);28
200M;Madrid (SCD Puerta del Angel-1);123M;Majadahonda (distrito 02);58
200M;Madrid (SCD Puerta del Angel-1);124M;Móstoles (distrito 01);22
200M;Madrid (SCD Puerta del Angel-1);125M;Móstoles (distrito 02);33
200M;Madrid (SCD Puerta del Angel-1);126M;Móstoles (distrito 03);38
200M;Madrid (SCD Puerta del Angel-1);131M;Pozuelo de Alarcón (distrito 01);135
200M;Madrid (SCD Puerta del Angel-1);132M;Pozuelo de Alarcón (distrito 02);60
200M;Madrid (SCD Puerta del Angel-1);134M;Rozas de Madrid, Las (sección 001 y otras secciones del distrito 01);34
200M;Madrid (SCD Puerta del Angel-1);135M;San Sebastián de los Reyes (sección 033 y otras secciones del distrito 01);36
200M;Madrid (SCD Puerta del Angel-1);142M;Madrid (SCD Palacio);187
200M;Madrid (SCD Puerta del Angel-1);144M;Madrid (SCD Embajadores-1);65
200M;Madrid (SCD Puerta del Angel-1);145M;Madrid (SCD Cortes);39
200M;Madrid (SCD Puerta del Angel-1);146M;Madrid (SCD Justicia);81
200M;Madrid (SCD Puerta del Angel-1);147M;Madrid (SCD Universidad);154
200M;Madrid (SCD Puerta del Angel-1);148M;Madrid (SCD Sol);94
200M;Madrid (SCD Puerta del Angel-1);149M;Madrid (SCD Imperial);237
200M;Madrid (SCD Puerta del Angel-1);150M;Madrid (SCD Acacias);127
200M;Madrid (SCD Puerta del Angel-1);151M;Madrid (SCD Chopera);60
200M;Madrid (SCD Puerta del Angel-1);152M;Madrid (SCD Legazpi);52
200M;Madrid (SCD Puerta del Angel-1);153M;Madrid (SCD Atocha-Delicias);96
200M;Madrid (SCD Puerta del Angel-1);154M;Madrid (SCD Palos de Moguer);76
200M;Madrid (SCD Puerta del Angel-1);155M;Madrid (SCD Pacífico);70
200M;Madrid (SCD Puerta del Angel-1);156M;Madrid (SCD Adelfas);50
200M;Madrid (SCD Puerta del Angel-1);158M;Madrid (SCD Ibiza);44
200M;Madrid (SCD Puerta del Angel-1);159M;Madrid (SCD Niño Jesús-Jerónimos);55
200M;Madrid (SCD Puerta del Angel-1);160M;Madrid (SCD Recoletos);50
200M;Madrid (SCD Puerta del Angel-1);161M;Madrid (SCD Goya);62
200M;Madrid (SCD Puerta del Angel-1);162M;Madrid (SCD Fuente del Berro);35
200M;Madrid (SCD Puerta del Angel-1);164M;Madrid (SCD Lista);24
200M;Madrid (SCD Puerta del Angel-1);165M;Madrid (SCD Castellana);59
200M;Madrid (SCD Puerta del Angel-1);167M;Madrid (SCD El Viso);44
200M;Madrid (SCD Puerta del Angel-1);168M;Madrid (SCD Prosperidad);30
200M;Madrid (SCD Puerta del Angel-1);170M;Madrid (SCD Hispanoamérica);25
200M;Madrid (SCD Puerta del Angel-1);171M;Madrid (SCD Nueva España);38
200M;Madrid (SCD Puerta del Angel-1);172M;Madrid (SCD Castilla);65
200M;Madrid (SCD Puerta del Angel-1);173M;Madrid (SCD Bellas Vistas);22
200M;Madrid (SCD Puerta del Angel-1);174M;Madrid (SCD Cuatro Caminos);77
200M;Madrid (SCD Puerta del Angel-1);175M;Madrid (SCD Castillejos);40
200M;Madrid (SCD Puerta del Angel-1);176M;Madrid (SCD Almenara);26
200M;Madrid (SCD Puerta del Angel-1);177M;Madrid (SCD Valdeacederas);52
200M;Madrid (SCD Puerta del Angel-1);179M;Madrid (SCD Gaztambide);146
200M;Madrid (SCD Puerta del Angel-1);180M;Madrid (SCD Arapiles);39
200M;Madrid (SCD Puerta del Angel-1);181M;Madrid (SCD Trafalgar);42
200M;Madrid (SCD Puerta del Angel-1);182M;Madrid (SCD Almagro);62
200M;Madrid (SCD Puerta del Angel-1);183M;Madrid (SCD Rios Rosas);66
200M;Madrid (SCD Puerta del Angel-1);184M;Madrid (SCD Vallehermoso);143
200M;Madrid (SCD Puerta del Angel-1);185M;Madrid (SCD Peñagrande-2);34
200M;Madrid (SCD Puerta del Angel-1);187M;Madrid (SCD Pilar-1);27
200M;Madrid (SCD Puerta del Angel-1);188M;Madrid (SCD Pilar-2);48
200M;Madrid (SCD Puerta del Angel-1);189M;Madrid (SCD La Paz);84
200M;Madrid (SCD Puerta del Angel-1);18SG;Espinar, El;23
200M;Madrid (SCD Puerta del Angel-1);190M;Madrid (SCD Valverde-2);46
200M;Madrid (SCD Puerta del Angel-1);191M;Madrid (SCD El Goloso-El Pardo-Fuentelarreina);115
200M;Madrid (SCD Puerta del Angel-1);192M;Madrid (SCD Valverde-1);41
200M;Madrid (SCD Puerta del Angel-1);193M;Madrid (SCD Mirasierra);47
200M;Madrid (SCD Puerta del Angel-1);194M;Madrid (SCD Casa de Campo);313
200M;Madrid (SCD Puerta del Angel-1);195M;Madrid (SCD Argüelles);224
200M;Madrid (SCD Puerta del Angel-1);196M;Madrid (SCD Ciudad Universitaria);195
200M;Madrid (SCD Puerta del Angel-1);197M;Madrid (SCD Valdezarza);54
200M;Madrid (SCD Puerta del Angel-1);198M;Madrid (SCD Aravaca-Plantio-Valdemarin);116
200M;Madrid (SCD Puerta del Angel-1);199M;Madrid (SCD Cármenes);132
200M;Madrid (SCD Puerta del Angel-1);200M;Madrid (SCD Puerta del Angel-1);15.121
200M;Madrid (SCD Puerta del Angel-1);201M;Madrid (SCD Puerta del Angel-2);121
200M;Madrid (SCD Puerta del Angel-1);202M;Madrid (SCD Lucero);164
200M;Madrid (SCD Puerta del Angel-1);203M;Madrid (SCD Aluche-2);30
200M;Madrid (SCD Puerta del Angel-1);205M;Madrid (SCD Aluche-1);103
200M;Madrid (SCD Puerta del Angel-1);206M;Madrid (SCD Campamento);82
200M;Madrid (SCD Puerta del Angel-1);208M;Madrid (SCD Aguilas-1);72
200M;Madrid (SCD Puerta del Angel-1);20SG;Real Sitio de San Ildefonso;25
200M;Madrid (SCD Puerta del Angel-1);211M;Madrid (SCD Comillas);36
200M;Madrid (SCD Puerta del Angel-1);212M;Madrid (SCD Opañel);41
200M;Madrid (SCD Puerta del Angel-1);213M;Madrid (SCD San Isidro);125
200M;Madrid (SCD Puerta del Angel-1);214M;Madrid (SCD Vista Alegre-1);34
200M;Madrid (SCD Puerta del Angel-1);217M;Madrid (SCD Buenavista-2);24
200M;Madrid (SCD Puerta del Angel-1);218M;Madrid (SCD Abrantes);27
200M;Madrid (SCD Puerta del Angel-1);220M;Madrid (SCD Orcasitas);27
200M;Madrid (SCD Puerta del Angel-1);221M;Madrid (SCD Orcasur);47
200M;Madrid (SCD Puerta del Angel-1);224M;Madrid (SCD Moscardó);29
200M;Madrid (SCD Puerta del Angel-1);227M;Madrid (SCD Entrevías);38
200M;Madrid (SCD Puerta del Angel-1);231M;Madrid (SCD Palomeras Sureste-2);27
200M;Madrid (SCD Puerta del Angel-1);238M;Madrid (SCD Marroquina);28
200M;Madrid (SCD Puerta del Angel-1);239M;Madrid (SCD Media Legua);23
200M;Madrid (SCD Puerta del Angel-1);250M;Madrid (SCD San Juan Bautista-Colina-Atalaya);25
200M;Madrid (SCD Puerta del Angel-1);254M;Madrid (SCD Canillas-2);23
200M;Madrid (SCD Puerta del Angel-1);255M;Madrid (SCD Pinar del Rey-1);24
200M;Madrid (SCD Puerta del Angel-1);258M;Madrid (SCD Valdefuentes-1);29
200M;Madrid (SCD Puerta del Angel-1);261M;Madrid (SCD San Andrés-2);34
200M;Madrid (SCD Puerta del Angel-1);268M;Madrid (SCD Casco Histórico de Vallecas-2);41
200M;Madrid (SCD Puerta del Angel-1);269M;Madrid (SCD Casco Histórico de Vallecas-3);19
200M;Madrid (SCD Puerta del Angel-1);274M;Madrid (SCD Simancas);52
200M;Madrid (SCD Puerta del Angel-1);282M;Madrid (SCD Alameda de Osuna-Corralejos);24
200M;Madrid (SCD Puerta del Angel-1);283M;Madrid (SCD Timón-Casco Historico-Aeropuerto);48
200M;Madrid (SCD Puerta del Angel-1);288M;Rozas de Madrid, Las (sección 017 y otras secciones del distrito 01);31
200M;Madrid (SCD Puerta del Angel-1);289M;Rozas de Madrid, Las (sección 032 y otras secciones del distrito 01);48
200M;Madrid (SCD Puerta del Angel-1);290M;Alcobendas (sección 059 y otras secciones del distrito 01);36
200M;Madrid (SCD Puerta del Angel-1);294M;Móstoles (sección 035 y otras secciones del distrito 04);39
200M;Madrid (SCD Puerta del Angel-1);295M;Móstoles (sección 042 y otras secciones del distrito 04);19
200M;Madrid (SCD Puerta del Angel-1);OTRO;OTROS DESTINOS;2.505
201B;Barcelona (SCD Horta);047B;Alella;29
201B;Barcelona (SCD Horta);069B;Esplugues de Llobregat;47
201B;Barcelona (SCD Horta);086B;Montcada i Reixac;40
201B;Barcelona (SCD Horta);102B;Ripollet;24
201B;Barcelona (SCD Horta);108B;Sant Adrià de Besòs;38
201B;Barcelona (SCD Horta);136B;Sitges;39
201B;Barcelona (SCD Horta);155B;Badalona (distrito 08);30
201B;Barcelona (SCD Horta);159B;Barcelona (SCD el Barri Gòtic);46
201B;Barcelona (SCD Horta);160B;Barcelona (SCD la Barceloneta);30
201B;Barcelona (SCD Horta);162B;Barcelona (SCD el Fort Pienc);47
201B;Barcelona (SCD Horta);163B;Barcelona (SCD la Sagrada Família est);26
201B;Barcelona (SCD Horta);164B;Barcelona (SCD la Sagrada Família oest);24
201B;Barcelona (SCD Horta);165B;Barcelona (SCD la Dreta de l'Eixample nord);107
201B;Barcelona (SCD Horta);166B;Barcelona (SCD la Dreta de l'Eixample sud);101
201B;Barcelona (SCD Horta);167B;Barcelona (SCD l'Antiga Esquerra de l'Eixample sud);32
201B;Barcelona (SCD Horta);168B;Barcelona (SCD l'Antiga Esquerra de l'Eixample nord);60
201B;Barcelona (SCD Horta);169B;Barcelona (SCD la Nova Esquerra de l'Eixample nord);27
201B;Barcelona (SCD Horta);171B;Barcelona (SCD Sant Antoni);22
201B;Barcelona (SCD Horta);174B;Barcelona (SCD la Marina i la Zona Franca-Port);71
201B;Barcelona (SCD Horta);181B;Barcelona (SCD les Corts est);44
201B;Barcelona (SCD Horta);182B;Barcelona (SCD les Corts oest);24
201B;Barcelona (SCD Horta);184B;Barcelona (SCD Pedralbes);43
201B;Barcelona (SCD Horta);185B;Barcelona (SCD Sarrià-Vallvidrera);79
201B;Barcelona (SCD Horta);187B;Barcelona (SCD Sant Gervasi- la Bonanova);30
201B;Barcelona (SCD Horta);188B;Barcelona (SCD Sant Gervasi- Galvany oest);52
201B;Barcelona (SCD Horta);189B;Barcelona (SCD Sant Gervasi- Galvany est);46
201B;Barcelona (SCD Horta);190B;Barcelona (SCD el Putxet i el Farró);24
201B;Barcelona (SCD Horta);191B;Barcelona (SCD Vallcarca i els Penitents);36
201B;Barcelona (SCD Horta);194B;Barcelona (SCD la Vila de Gràcia oest);21
201B;Barcelona (SCD Horta);195B;Barcelona (SCD la Vila de Gràcia est);27
201B;Barcelona (SCD Horta);196B;Barcelona (SCD el Camp d'en Grassot i Gràcia Nova);43
201B;Barcelona (SCD Horta);197B;Barcelona (SCD el Baix Guinardó);48
201B;Barcelona (SCD Horta);199B;Barcelona (SCD el Carmel);280
201B;Barcelona (SCD Horta);200B;Barcelona (SCD els barris de la Vall d'Hebron);632
201B;Barcelona (SCD Horta);201B;Barcelona (SCD Horta);15.694
201B;Barcelona (SCD Horta);202B;Barcelona (SCD la Font d'en Fargues);289
201B;Barcelona (SCD Horta);203B;Barcelona (SCD el Guinardó);78
201B;Barcelona (SCD Horta);204B;Barcelona (SCD Vilapicina i la Torre Llobeta);229
201B;Barcelona (SCD Horta);205B;Barcelona (SCD Porta);96
201B;Barcelona (SCD Horta);206B;Barcelona (SCD el Turó de la Peira-Can Peguera);71
201B;Barcelona (SCD Horta);207B;Barcelona (SCD la Guineueta);228
201B;Barcelona (SCD Horta);209B;Barcelona (SCD les Roquetes);27
201B;Barcelona (SCD Horta);211B;Barcelona (SCD la Prosperitat);62
201B;Barcelona (SCD Horta);215B;Barcelona (SCD el Bon Pastor);79
201B;Barcelona (SCD Horta);217B;Barcelona (SCD Sant Andreu oest);91
201B;Barcelona (SCD Horta);218B;Barcelona (SCD la Sagrera);30
201B;Barcelona (SCD Horta);223B;Barcelona (SCD el Parc i la Llacuna del Poblenou);36
201B;Barcelona (SCD Horta);225B;Barcelona (SCD el Poblenou);40
201B;Barcelona (SCD Horta);301B;Cerdanyola del Vallès;25
201B;Barcelona (SCD Horta);320B;Hospitalet de LLobregat, L´ (SCD  Santa Eulalia 2);18
201B;Barcelona (SCD Horta);OTRO;OTROS DESTINOS;2.632
201M;Madrid (SCD Puerta del Angel-2);194M;Madrid (SCD Casa de Campo);118
201M;Madrid (SCD Puerta del Angel-2);196M;Madrid (SCD Ciudad Universitaria);30
201M;Madrid (SCD Puerta del Angel-2);199M;Madrid (SCD Cármenes);95
201M;Madrid (SCD Puerta del Angel-2);200M;Madrid (SCD Puerta del Angel-1);150
201M;Madrid (SCD Puerta del Angel-2);201M;Madrid (SCD Puerta del Angel-2);6.660
201M;Madrid (SCD Puerta del Angel-2);202M;Madrid (SCD Lucero);269
201M;Madrid (SCD Puerta del Angel-2);213M;Madrid (SCD San Isidro);34
201M;Madrid (SCD Puerta del Angel-2);OTRO;OTROS DESTINOS;1.624
202B;Barcelona (SCD la Font d'en Fargues);174B;Barcelona (SCD la Marina i la Zona Franca-Port);27
202B;Barcelona (SCD la Font d'en Fargues);199B;Barcelona (SCD el Carmel);260
202B;Barcelona (SCD la Font d'en Fargues);200B;Barcelona (SCD els barris de la Vall d'Hebron);142
202B;Barcelona (SCD la Font d'en Fargues);201B;Barcelona (SCD Horta);412
202B;Barcelona (SCD la Font d'en Fargues);202B;Barcelona (SCD la Font d'en Fargues);5.505
202B;Barcelona (SCD la Font d'en Fargues);203B;Barcelona (SCD el Guinardó);50
202B;Barcelona (SCD la Font d'en Fargues);204B;Barcelona (SCD Vilapicina i la Torre Llobeta);159
202B;Barcelona (SCD la Font d'en Fargues);OTRO;OTROS DESTINOS;1.097
202M;Madrid (SCD Lucero);082M;Tres Cantos;26
202M;Madrid (SCD Lucero);088M;Alcorcón (distrito 01);96
202M;Madrid (SCD Lucero);097M;Boadilla del Monte;32
202M;Madrid (SCD Lucero);114M;Getafe (distrito 04);26
202M;Madrid (SCD Lucero);131M;Pozuelo de Alarcón (distrito 01);109
202M;Madrid (SCD Lucero);132M;Pozuelo de Alarcón (distrito 02);24
202M;Madrid (SCD Lucero);142M;Madrid (SCD Palacio);24
202M;Madrid (SCD Lucero);146M;Madrid (SCD Justicia);27
202M;Madrid (SCD Lucero);147M;Madrid (SCD Universidad);52
202M;Madrid (SCD Lucero);148M;Madrid (SCD Sol);80
202M;Madrid (SCD Lucero);149M;Madrid (SCD Imperial);33
202M;Madrid (SCD Lucero);150M;Madrid (SCD Acacias);38
202M;Madrid (SCD Lucero);153M;Madrid (SCD Atocha-Delicias);55
202M;Madrid (SCD Lucero);158M;Madrid (SCD Ibiza);27
202M;Madrid (SCD Lucero);159M;Madrid (SCD Niño Jesús-Jerónimos);24
202M;Madrid (SCD Lucero);160M;Madrid (SCD Recoletos);24
202M;Madrid (SCD Lucero);161M;Madrid (SCD Goya);30
202M;Madrid (SCD Lucero);167M;Madrid (SCD El Viso);31
202M;Madrid (SCD Lucero);174M;Madrid (SCD Cuatro Caminos);68
202M;Madrid (SCD Lucero);179M;Madrid (SCD Gaztambide);41
202M;Madrid (SCD Lucero);181M;Madrid (SCD Trafalgar);26
